Make,Model,Total.Injuries
AERONCA,0-58A,0.0
AERONCA,0-58B,1.0
AERONCA,11AC,14.0
AERONCA,11BC,0.0
AERONCA,11CC,0.0
AERONCA,15AC,2.0
AERONCA,58B,2.0
AERONCA,65 CA,3.0
AERONCA,65 LB,0.0
AERONCA,65C,0.0
AERONCA,65CA,2.0
AERONCA,7AC,35.0
AERONCA,7AC-CONV,0.0
AERONCA,7BC,0.0
AERONCA,7BCM,9.0
AERONCA,7BCM (L-16A),2.0
AERONCA,7CCM,5.0
AERONCA,7DC,0.0
AERONCA,7DC-CONV,0.0
AERONCA,7EC,2.0
AERONCA,L 3B,0.0
AERONCA,O-58B,0.0
AERONCA,O-58C,2.0
AERONCA,O58B,2.0
AERONCA,S11AC,1.0
AEROPRAKT,22L2,2.0
AEROPRAKT,A 20 VISTA CRUISER,0.0
AEROPRAKT MANUFACTURING SP ZOO,A22LS,1.0
AEROPRO CZ,A220,1.0
AEROPRO CZ,A240,1.0
AEROPRO CZ,EUROFOX,0.0
AEROPRO CZ,EUROFOX LSA,1.0
AEROPRO CZ S R O,A220,0.0
AEROPRO CZ S R O,A240,1.0
AEROS,2,1.0
AEROS,Venture 2000,1.0
AEROS LTD,AEROS 2,2.0
AEROS LTD,SKYRANGER,0.0
AEROS LTD,TRIKE,1.0
AEROS LTD/SKYRANGER AIRCRAFT,SKYRANGER II,2.0
AEROSPATIALE,AS 350 B-2,0.0
AEROSPATIALE,AS 355,1.0
AEROSPATIALE,AS 355F1,5.0
AEROSPATIALE,AS 365 N2 DAUPHIN,0.0
AEROSPATIALE,AS-350-D,6.0
AEROSPATIALE,AS-355F1,5.0
AEROSPATIALE,AS350,9.0
AEROSPATIALE,AS350 B2,0.0
AEROSPATIALE,AS350 B2 E,1.0
AEROSPATIALE,AS350 B2 ECUREUIL,2.0
AEROSPATIALE,AS350 B2 Ecureuil,0.0
AEROSPATIALE,AS350B,11.0
AEROSPATIALE,AS350B2,3.0
AEROSPATIALE,AS350BA,5.0
AEROSPATIALE,AS355,8.0
AEROSPATIALE,AS355F1,0.0
AEROSPATIALE,SA-341G,0.0
AEROSPATIALE,SA315,0.0
AEROSPATIALE,SA315B,0.0
AEROSPATIALE,SA341,0.0
AEROSPATIALE,SA342J,4.0
AEROSPATIALE,SA365N-1 D,5.0
AEROSPATIALE ALENIA,ATR 42-320,2.0
AEROSPOOL,DYNAMIC WT-9,1.0
AEROSPORT LTD,IKARUS C42E,0.0
AEROSTAR,RX-8,2.0
AEROSTAR,RX8,1.0
AEROSTAR ACFT CORP OF TEXAS,M20E,3.0
AEROSTAR ACFT CORP OF TEXAS,M20F,4.0
AEROSTAR AIRCRAFT CORPORATION,PA-60-601P,0.0
AEROSTAR INTERNATIONAL,RX-7,2.0
AEROSTAR INTERNATIONAL,RX8,5.0
AEROSTAR INTERNATIONAL,S-60A,2.0
AEROSTAR INTERNATIONAL,S53A,2.0
AEROSTAR INTERNATIONAL,S57A,1.0
AEROSTAR INTERNATIONAL INC,RAVEN S49A,2.0
AEROSTAR INTERNATIONAL INC,RX 8,2.0
AEROSTAR INTERNATIONAL INC,RX-9,4.0
AEROSTAR INTERNATIONAL INC,RXS-8,1.0
AEROSTAR INTERNATIONAL INC,S-60A,5.0
AEROSTAR INTERNATIONAL INC,S-77A,2.0
AEROSTAR INTERNATIONAL INC,S81A,1.0
AEROSTAR S A,YAK 52,2.0
AEROSTAR S A,YAK-52,3.0
AEROTECHNIK,L 13 SEH VIVAT,0.0
AEROTEK,PITTS S 1T,0.0
AEROTEK,PITTS S 2A,2.0
AEROTEK,PITTS S-1T,0.0
AEROTEK,PITTS S-2A,0.0
AEROTEK,PITTS SPEC,0.0
AEROTEK,PITTS SPECIAL,0.0
AEROTEK,PITTS SPECIAL S-1S,1.0
AEROTEK INC,PITTS S-2B,0.0
AEROTRIKE,SAFARI,1.0
AEROVODOCHODY,L 29 DELFIN,2.0
AEROVODOCHODY,L-29 DELFIN,3.0
AFICIONADO,MINI-MAX EROS,0.0
AG-CAT CORPORATION,G 164,0.0
AGUSTA,109E,1.0
AGUSTA,A109,18.0
AGUSTA,A109E,1.0
AGUSTA,A119,8.0
AGUSTA,AB206B,0.0
AGUSTA,AW-139,0.0
AGUSTA,AW109,2.0
AGUSTA,AW119MKII,8.0
AGUSTA,AW139,4.0
AGUSTA AEROSPACE CORP,AW119 MKII,0.0
AGUSTA BELL,206-3B,2.0
AGUSTA BELL,206B,2.0
AGUSTA BELL,AB206-B3,2.0
AGUSTA BELL,AB206B,3.0
AGUSTA BELL,Unknown,3.0
AGUSTA SPA,A109A II,3.0
AGUSTA SPA,A109E,9.0
AGUSTA SPA,A119,1.0
AGUSTA SPA,AW139,1.0
AGUSTAWESTLAND,AW139,0.0
AGUSTAWESTLAND PHILADELPHIA,AW139,0.0
AGUSTAWESTLAND PHILADELPHIA CO,AW119MKII,0.0
AGUSTAWESTLAND SPA,AGUSTA AW139,4.0
AGUSTAWESTLAND SPA,AW109SP,1.0
AHRENS GERD H,RV 6,1.0
AIR COMMAND,532,1.0
AIR COMMAND,582,1.0
AIR CREATION,582SL,1.0
AIR CREATION,Buggy,0.0
AIR CREATION,CLIPPER 58,1.0
AIR CREATION,CLIPPER 582,2.0
AIR CREATION,CLIPPER 582S,1.0
AIR CREATION,GTE,2.0
AIR CREATION,TANARG,5.0
AIR CREATION,Tanarg,1.0
AIR CREATION USA LLC,SKYPPER,3.0
AIR GULFSTREAM AIRLINES INC,SX-300,0.0
AIR TRACTOR,401B,1.0
AIR TRACTOR,502B,0.0
AIR TRACTOR,AT-301,1.0
AIR TRACTOR,AT-301A,0.0
AIR TRACTOR,AT-400,1.0
AIR TRACTOR,AT-401,1.0
AIR TRACTOR,AT-402,1.0
AIR TRACTOR,AT-402A,0.0
AIR TRACTOR,AT-402B,0.0
AIR TRACTOR,AT-502,3.0
AIR TRACTOR,AT-502B,2.0
AIR TRACTOR,AT-602,3.0
AIR TRACTOR,AT-802A,5.0
AIR TRACTOR,AT-802F,1.0
AIR TRACTOR,AT301,4.0
AIR TRACTOR,AT400,1.0
AIR TRACTOR,AT401,1.0
AIR TRACTOR,AT402,4.0
AIR TRACTOR,AT502,17.0
AIR TRACTOR,AT503,1.0
AIR TRACTOR,AT602,2.0
AIR TRACTOR,AT802,10.0
AIR TRACTOR,AT802-A,1.0
AIR TRACTOR,AT802A,0.0
AIR TRACTOR INC,AT,0.0
AIR TRACTOR INC,AT 301,0.0
AIR TRACTOR INC,AT 400,1.0
AIR TRACTOR INC,AT 401,0.0
AIR TRACTOR INC,AT 401B,2.0
AIR TRACTOR INC,AT 402,1.0
AIR TRACTOR INC,AT 402A,2.0
AIR TRACTOR INC,AT 402B,2.0
AIR TRACTOR INC,AT 502,5.0
AIR TRACTOR INC,AT 502B,11.0
AIR TRACTOR INC,AT 602,7.0
AIR TRACTOR INC,AT 802,3.0
AIR TRACTOR INC,AT 802A,0.0
AIR TRACTOR INC,AT-301,8.0
AIR TRACTOR INC,AT-301A,1.0
AIR TRACTOR INC,AT-302,0.0
AIR TRACTOR INC,AT-400,0.0
AIR TRACTOR INC,AT-400A,1.0
AIR TRACTOR INC,AT-401,2.0
AIR TRACTOR INC,AT-401B,0.0
AIR TRACTOR INC,AT-402,0.0
AIR TRACTOR INC,AT-402A,1.0
AIR TRACTOR INC,AT-402B,2.0
AIR TRACTOR INC,AT-502,6.0
AIR TRACTOR INC,AT-502A,2.0
AIR TRACTOR INC,AT-502B,8.0
AIR TRACTOR INC,AT-602,14.0
AIR TRACTOR INC,AT-802,2.0
AIR TRACTOR INC,AT-802A,14.0
AIR TRACTOR INC.,AT-502,1.0
AIRBORNE,Classic,2.0
AIRBORNE,EDGE 582 T,0.0
AIRBORNE,EDGE X,2.0
AIRBORNE,Edge X Classic,0.0
AIRBORNE,OUTBACK,0.0
AIRBORNE,REDBACK,0.0
AIRBORNE,Streak 2,2.0
AIRBORNE,WINDSPORT EDGE,1.0
AIRBORNE,X-Series,1.0
AIRBORNE,XT 912,1.0
AIRBORNE,XT-912,1.0
AIRBORNE,XT912,2.0
AIRBORNE (AUSTRALIA),EDGE EXECUTIVE,1.0
AIRBORNE AUSTRALIA,XT582,0.0
AIRBORNE EXTREME LLC,SQ-12,0.0
AIRBORNE WINDSPORTS,Edge XT-912L,2.0
AIRBORNE WINDSPORTS PTY LTD,EDGE X CLASSIC,1.0
AIRBORNE WINDSPORTS PTY LTD,EDGE XT 912 L,2.0
AIRBORNE WINDSPORTS PTY LTD,EDGE XT-912-L,6.0
AIRBORNE WINDSPORTS PTY LTD,XT-912,2.0
AIRBORNE WINDSPORTS PTY LTD,XT-912-L,3.0
AIRBUS,220,1.0
AIRBUS,319-132,1.0
AIRBUS,320,1.0
AIRBUS,321,0.0
AIRBUS,330,11.0
AIRBUS,330-200,0.0
AIRBUS,A220,0.0
AIRBUS,A300,0.0
AIRBUS,A300 - F4 622R,2.0
AIRBUS,A300-600R,0.0
AIRBUS,A300B4-203,5.0
AIRBUS,A310,153.0
AIRBUS,A310 - 308,0.0
AIRBUS,A319,7.0
AIRBUS,A319 - 132,35.0
AIRBUS,A319 112,0.0
AIRBUS,A319 114,1.0
AIRBUS,A319 115,9.0
AIRBUS,A319 132,3.0
AIRBUS,A319-111,0.0
AIRBUS,A319-112,1.0
AIRBUS,A319-115,0.0
AIRBUS,A319-132,1.0
AIRBUS,A320,189.0
AIRBUS,A320 - 211,28.0
AIRBUS,A320 - 214,0.0
AIRBUS,A320 - 216,162.0
AIRBUS,A320 - 231,0.0
AIRBUS,A320 214,0.0
AIRBUS,A320 232,28.0
AIRBUS,A320 233,0.0
AIRBUS,A320-214,0.0
AIRBUS,A320-232,13.0
AIRBUS,A320-251N,0.0
AIRBUS,A320-271N,4.0
AIRBUS,A321,382.0
AIRBUS,A321 - 211,0.0
AIRBUS,A321 231,4.0
AIRBUS,A321-211,1.0
AIRBUS,A321-231,10.0
AIRBUS,A321-271N,0.0
AIRBUS,A330,364.0
AIRBUS,A330 - 201,0.0
AIRBUS,A330 - 203,15.0
AIRBUS,A330 - 223,0.0
AIRBUS,A330 - 301,0.0
AIRBUS,A330 - 302,0.0
AIRBUS,A330 - 323,0.0
AIRBUS,A330 223,0.0
AIRBUS,A330 323,4.0
AIRBUS,A330-243,0.0
AIRBUS,A330-323,1.0
AIRBUS,A340 - 300,0.0
AIRBUS,A350,1.0
AIRBUS,A380,1.0
AIRBUS,A380-861,0.0
AIRBUS,AS 350 B2,0.0
AIRBUS,AS 350 BA FX1,0.0
AIRBUS,AS-350,0.0
AIRBUS,AS350,6.0
AIRBUS,AS350 B2,0.0
AIRBUS,AS350 B3E,3.0
AIRBUS,AS350-B2,1.0
AIRBUS,AS350B2,7.0
AIRBUS,Airbus A330,0.0
AIRBUS,BD-500-1A11 (CS300),0.0
AIRBUS,EC 130 T2,1.0
AIRBUS,EC130,7.0
AIRBUS,EC135,0.0
AIRBUS,F4-622R,0.0
AIRBUS HELICOPTER,EC135T2+,4.0
AIRBUS HELICOPTERS,332L2,8.0
AIRBUS HELICOPTERS,AS 350 B3,3.0
AIRBUS HELICOPTERS,AS 350B3,4.0
AIRBUS HELICOPTERS,AS-350B2,0.0
AIRBUS HELICOPTERS,AS350,0.0
AIRBUS HELICOPTERS,AS350B3E,2.0
AIRBUS HELICOPTERS,EC 130,0.0
AIRBUS HELICOPTERS,EC 130 T2,1.0
AIRBUS HELICOPTERS INC,AS350,4.0
AIRBUS HELICOPTERS INC,AS350B3,0.0
AIRBUS HELICOPTERS INC,AS350B3E,3.0
AIRBUS Helicopters,AS350,3.0
AIRBUS INDUSTRIE,A300B4-622R,0.0
AIRBUS INDUSTRIE,A319 112,2.0
AIRBUS INDUSTRIE,A319 132,1.0
AIRBUS INDUSTRIE,A319-100,3.0
AIRBUS INDUSTRIE,A319-131,3.0
AIRBUS INDUSTRIE,A319-132,3.0
AIRBUS INDUSTRIE,A320 211,0.0
AIRBUS INDUSTRIE,A320 212,2.0
AIRBUS INDUSTRIE,A320 214,1.0
AIRBUS INDUSTRIE,A320-211,150.0
AIRBUS INDUSTRIE,A320-212,1.0
AIRBUS INDUSTRIE,A320-214,0.0
AIRBUS INDUSTRIE,A320-232,2.0
AIRBUS INDUSTRIE,A330 323,0.0
AIRBUS INDUSTRIE,A330-323,1.0
AIRBUS/EUROCOPTER,AS 350 B3,0.0
AIRCRAFT INDUSTRIES A.S.,L33 SOLO,1.0
AIRCRAFT MFG & DESIGN LLC,CH601XL SLSA,1.0
AIRCRAFT MFG & DEVELOPMENT CO,CH 2000,4.0
AIRCRAFT MFG & DEVELOPMENT CO,CH 601XL S,0.0
AIRCRAFT MFG & DVLPMT CO,CH601XL,2.0
AIRCRAFT MFG & DVLPMT CO,CH601XLi SLSA,1.0
AIRFRAMES UNLIMITED,COYOTE,2.0
AIRFRAMES UNLIMITED,OUTLAW,1.0
AIRGYRO,AG915,1.0
AIRGYRO AVIATION LLC,TERCEL,1.0
AIRMAX CONSTRUCOES AERONAUTICA,SEAMAX-M22,0.0
AIRPARTS NZ LTD,FU 24 Stallion,1.0
AIRPLANE FACTORY (PTY) LTD,SLING,0.0
AIRPLANE FACTORY (PTY) LTD,SLING LSA,0.0
AIRPLANE FACTORY (PTY) LTD THE,SLING,2.0
AIRTIME,CYGNET,1.0
AIRTIME AIRCRAFT INC,CYGNET,2.0
AIRvan,GA8,9.0
ALASKAN AIR ADVENTURES LLC,SQ2,0.0
ALBRIGHT STAN,KITFOX SUPER SPORT,0.0
ALEX MICHAEL BANTUM/TERCEL USA,TERCEL-GYROPLANE,0.0
ALEXANDER,RV-7,1.0
ALEXANDER DUANE A,RV-8,0.0
ALEXANDER SCHLEICHER GMBH & CO,ASH 31 MI,1.0
ALEXANDER SCHLEICHER GMBH & CO,ASK 21,0.0
ALEXANDER SCHLEICHER GMBH & CO,ASW 27-18,0.0
ALEXANDER SCHLEICHER GMBH & CO,ASW 27-18E,1.0
ALEXANDER SCHLEICHER GMBH & CO,K 7,0.0
ALEXANDER THOMAS P,SPORTSMAN GS-2,1.0
ALEXANDER VAGNER,TANGO II,1.0
ALGIMANTAS JONUSAS,RV-10,2.0
ALIEV BULENT,COZY MARK IV,0.0
ALISPORT SRL,SILENT 2 ELECTRO,0.0
ALISPORT SRL,SILENT 2 TARGA,1.0
ALLAN G PIXLEY,THATCHER CX4,1.0
ALLARDYCE MICHAEL,GLASTAR,1.0
ALLEN,BD-5,1.0
ALLEN,STEEN SKYBOLT,2.0
ALLEN JAN A,CHALLENGER II,0.0
ALLEN RAYMOND H,LANCAIR LEGACY,0.0
ALLEN ROBERT,RV6,0.0
ALLEN W INKS,VIRUS SW,0.0
ALLIANT AVIATION,DESTINY 2000,1.0
ALLSTAR PZL GLIDER,SZD-54-2 PERKOZ,2.0
ALON,A-2A,0.0
ALON,A2,7.0
ALONSO,CH 701,0.0
ALPI AVIATION,PIONEER,2.0
ALVAREZ MARVIN R,RANS S-6S,1.0
AMATEUR BUILT AIRCRAFT,KR-2,1.0
AMATEUR BUILT AIRCRAFT,VAN'S RV-6,1.0
AMATEUR BUILT AIRCRAFT,VAN'S RV-6A,1.0
AMATEUR CONSTRUCTION,DENNEY KITFOX MK2,1.0
AMATEUR CONSTRUCTION,GLASAIR RG,1.0
AMATEUR CONSTRUCTION,KOLB FIREFLY,1.0
AMATEUR CONSTRUCTION,RANS S6-ESD (MODIFIE,2.0
AMATEUR CONSTRUCTION,TITAN T-51 MUSTANG,0.0
AMATEUR CONSTRUCTION,VARI EZE,2.0
AMATURE BUILT,PITTS,1.0
AMD,CH2000,0.0
AMEN,STAR LITE,0.0
AMERICAN,AA,1.0
AMERICAN,AA 1,2.0
AMERICAN,AA-1,10.0
AMERICAN,AA-5,1.0
AMERICAN AIR RACING LTD,THUNDER MUSTANG,1.0
AMERICAN AVIATION,AA 1A,4.0
AMERICAN AVIATION,AA-1A,10.0
AMERICAN AVIATION,AA1,2.0
AMERICAN BLIMP,A60PLUS,1.0
AMERICAN CHAMPION,7GCB,2.0
AMERICAN CHAMPION,8GCBC,0.0
AMERICAN CHAMPION,8KCAB,2.0
AMERICAN CHAMPION AIRCRAFT,7AC,0.0
AMERICAN CHAMPION AIRCRAFT,7EC,0.0
AMERICAN CHAMPION AIRCRAFT,7GCAA,2.0
AMERICAN CHAMPION AIRCRAFT,7GCBC,9.0
AMERICAN CHAMPION AIRCRAFT,8GCBC,6.0
AMERICAN CHAMPION AIRCRAFT,8KCAB,6.0
AMERICAN Champion,8KCAB,0.0
AMERICAN EUROCOPTER,AS350,2.0
AMERICAN EUROCOPTER,AS350B3,1.0
AMERICAN EUROCOPTER CORP,AS350B2,6.0
AMERICAN EUROCOPTER CORP,AS350B3,5.0
AMERICAN EUROCOPTER LLC,AS 350 B3,3.0
AMERICAN EUROCOPTER LLC,AS350B2,4.0
AMERICAN EUROCOPTER LLC,AS350B3,0.0
AMERICAN GENERAL ACFT CORP,AG5,0.0
AMERICAN GENERAL ACFT CORP,AG5B,4.0
AMERICAN LEGEND,AL-3,0.0
AMERICAN LEGEND,AL3,0.0
AMERICAN LEGEND AIRCRAFT CO,AL11C 100,0.0
AMERICAN LEGEND AIRCRAFT CO,AL11C-100,0.0
AMERICAN LEGEND AIRCRAFT CO,AL18,0.0
AMERICAN LEGEND AIRCRAFT CO,AL3,3.0
AMERICAN LEGEND AIRCRAFT CO,AL3C,0.0
AMERICAN LONGEVITY CORP,SEAREY,2.0
AMES ANGIER M,LNC2,2.0
AMIRKHANIAN SHAHRAM CHARL,COMMANDER,1.0
AMS FLIGHT,CARAT A,1.0
AMS Flight,APIS-M,1.0
AMS Flight,Carat A,1.0
AMS-FLIGHT D.O.O.,DG-500 ELAN ORION,0.0
AMSTUTZ CURTIS J,BD-5B,0.0
ANATRA BART T,VANS RV-7A,0.0
ANDERAS,TIGER MOTH R80,1.0
ANDERSON ANDREAS,RANS S-6S,1.0
ANDERSON DARRELL L,STARDUSTER TOO,1.0
ANDERSON JOHN H,AVID FLYER MK 4,1.0
ANDERSON R E/ABROMAVICH L J,LANCAIR 360,0.0
ANDREW HAROLD,STOL CH 701,0.0
ANDREWS,ZODIAC,1.0
ANG,01,2.0
ANGUS WATT,ZENAIR STOLCH 750,0.0
ANKERSTAR BRADLEY D,RAND-ROBINSON KR2,0.0
"ANKESTAR, BRADLEY D.",RAND-ROBINSON KR2,1.0
ANTARES,MA-32,1.0
ANTARES,MA-33M R582,2.0
ANTARES,MA33,1.0
ANTARES US,MA-34R,1.0
ANTENOR VELAZCO,LANCAIR EVOLUTION,2.0
ANTONOV,AN124,2.0
ANTONOV,AN148,71.0
ANTONOV,AN2,0.0
ANTONOV,AN24,0.0
ANTONOV,TVS-2MS,0.0
ANTONOVICH ANTON B,CHALLENGER II,1.0
APOLLO,MONSOON,1.0
APOLLO AIRCRAFT INC,Fox,0.0
APOLLO AIRCRAFT INC,MONSOON,2.0
APPLEBY,NIEUPORT 28,1.0
APPLEGATE,PANZL S331E,1.0
ARADO-FLUGZEUGWERKE GMBH,FW190 A-5,0.0
ARBC INC,69X,1.0
ARBC INC DBA LINDSTRAND,120A,1.0
ARBC INC DBA LINDSTRAND,150A,4.0
ARBC INC DBA LINDSTRAND,180A,1.0
ARBC INC DBA LINDSTRAND,60X,1.0
ARBC INC DBA LINDSTRAND,77A,1.0
ARBC INC DBA LINDSTRAND,90A,1.0
ARCTIC AIRCRAFT CO INC,S 1B2,2.0
ARGENCE,RV-8,1.0
ARION,LIGHTNING,3.0
ARION AIRCRAFT LLC,LIGHTNING LS-1,2.0
ARION SKYS OPEN SPORT AVIATION,LIGHTNING,0.0
ARIOSTO JAMES J,ARIOSTO MUSTANG II,1.0
ARNOLD,ZODIAC CH 650,0.0
ARNOLD J/JONES D L,AIR CAM,1.0
ARROW FALCON EXPORTERS INC,OH-58A,1.0
ARROW FALCON EXPORTERS INC,OH-58A+,1.0
ARROW FALCON EXPORTERS INC,OH-58C,1.0
ARROW FALCON EXPORTERS INC,OH58,1.0
ARROW FALCON EXPORTERS INC,UH-1H,1.0
ART LEE DELANO,CH701,0.0
ARTER WARREN,CARBON CUB CCK-1865,0.0
ARVOLD JORDON R,CH 750,0.0
AS+ LTD,AC 4,1.0
ASTON KINSEY,TERCEL,0.0
ATEC,321 FAETA,2.0
ATKINS,ACRO-SPORT I,1.0
ATKINS JOHN,RAF 2000 G,1.0
ATKINSON,EAGLET,1.0
ATR,72,58.0
ATR,72-500,58.0
ATR,ATR42,1.0
ATR,ATR72,0.0
ATR,ATR72 - 212A,0.0
ATTAWAY ROBERT H,RV6A,1.0
AUGUSTINE DAVID L,SONEX,1.0
AUMAN JL,T-51,1.0
AURORA,PAV,0.0
AUTOGYRO,CAVALON,1.0
AUTOGYRO,MTOSPORT,2.0
AUTOGYRO GMBH,CALIDUS,0.0
AUTOGYRO GMBH,Cavalon,1.0
AUTOGYRO USA LLC,CALIDUS,0.0
AVE STEPHEN,RV8,0.0
AVEKO SRO,VL-3 LSA,2.0
AVEKO SRO,VL-3C-1,0.0
AVENTURA,II,0.0
AVERY JACK H,GLASTAR GS-1,1.0
AVES DOUGLAS JAMES,RV 6,2.0
AVIA STROITEL,AC-5M,2.0
AVIAMILANO,FALCO F8L,2.0
AVIAN BALLOON,MAGNUM IX,0.0
AVIAT,A-1,1.0
AVIAT,A-1B,4.0
AVIAT,A-1C 200,0.0
AVIAT,A-1C-180,1.0
AVIAT,A-1C-200,3.0
AVIAT,A1,4.0
AVIAT,A1 - B,0.0
AVIAT,A1-A,0.0
AVIAT,A1C-180,2.0
AVIAT,Husky,0.0
AVIAT,Pitts S-2B,2.0
AVIAT,Pitts S2B,0.0
AVIAT,S,0.0
AVIAT,S2,0.0
AVIAT AIRCRAFT,A-1C-180,1.0
AVIAT AIRCRAFT INC,A,2.0
AVIAT AIRCRAFT INC,A 1,0.0
AVIAT AIRCRAFT INC,A 1B,1.0
AVIAT AIRCRAFT INC,A-1,0.0
AVIAT AIRCRAFT INC,A-1A,5.0
AVIAT AIRCRAFT INC,A-1B,9.0
AVIAT AIRCRAFT INC,A-1C,0.0
AVIAT AIRCRAFT INC,A-1C-180,4.0
AVIAT AIRCRAFT INC,A-1C-200,2.0
AVIAT AIRCRAFT INC,A1,0.0
AVIAT AIRCRAFT INC,HUSKY,0.0
AVIAT AIRCRAFT INC,PITTS S 2B,0.0
AVIAT AIRCRAFT INC,S 2C,0.0
AVIAT INC,A 1,1.0
AVIAT INC,A-1,2.0
AVIAT INC,PITTS S-2B,2.0
AVIATE,RAPTOR,1.0
AVID,AVID FLYER,2.0
AVID,MARK IV,1.0
AVIONS FAIREY,TIPSY NIPPER T-66,1.0
AVIONS MAX HOLSTE,MH 1521 BROUSSARD,0.0
AVIONS MUDRY CIE,CAP 231,0.0
AVIONS MUDRY ET CIE,CAP,0.0
AVIONS ROBIN,DR400,4.0
AVIONS ROBIN,ROBIN DR 400/140 B,2.0
AVRO,146,0.0
AVRO,RJ85,0.0
AXELL CHARLES L,RV-6,0.0
AYERS,LESS DRAG SPECIAL,2.0
AYRES,S2R,7.0
AYRES,S2R-G10,1.0
AYRES,S2R-G6,1.0
AYRES,S2R-T15,1.0
AYRES,S2R-T34,1.0
AYRES,S2R600,0.0
AYRES,SRT34,1.0
AYRES CORP,S2R,1.0
AYRES CORPORATION,S 2R,0.0
AYRES CORPORATION,S-2R,2.0
AYRES CORPORATION,S2R,1.0
AYRES CORPORATION,S2R G10,0.0
AYRES CORPORATION,S2R G6,1.0
AYRES CORPORATION,S2R T34,1.0
AYRES CORPORATION,S2R-600,1.0
AYRES CORPORATION,S2R-G1,1.0
AYRES CORPORATION,S2R-G10,1.0
AYRES CORPORATION,S2R-G6,0.0
AYRES CORPORATION,S2R-R1340,2.0
AYRES CORPORATION,S2R-T34,7.0
AYRES CORPORATION,S2R-T41,1.0
AYRES CORPORATION,S2R-T65,0.0
AYRES THRUSH,S2R,0.0
AYRES THRUSH,S2R-T34,2.0
Aaa Aircraft Leasing,192,2.0
